"Resturants_name","Resturants_phone","Resturants_Review_user","Resturants_Review_feedback","Resturants_Review_photos_image"
"Il Corvo Pasta","(206) 538-0999","Anisha B.","On Valentine's morning at 9:45, I started walking towards the restaurant with my friend to go stand in the queue. I was visiting from California, and my manager at work had highly recommended that I go to this place - he even let me take the morning off to go stand in the queue! So cool! He told me that this is not the one to miss if you're in Seattle, and given that it was my first time in Seattle, I thought I wouldn't let go of the opportunity!
After reaching the restaurant at 10:20AM, we were the sixth ones in the queue. I highly (very highly!!) recommend getting there at least 30 (and ideally 40) minutes before their opening time of 11AM. We were able to enter inside as soon as it opened. Definitely follow them on instagram - yummy posts of their daily rotating pasta and the prep process will make your mouth water every morning! I could not get myself to unfollow them. I love seeing how they make their pasta and with what! On Valentine's, they made a reddish pink beet puree pasta for the love theme - how cute is that!
I don't need to talk much about their food because their Yelp ratings speak for themselves!! The kale salad, as boring as it gets for salad-haters otherwise, is a treat! Do not skip it! My not-so-into-salad friends gorged it completely. I loved their madaline sandwich cookie that they sell by the piece! Very buttery and melts in your mouth. Focaccia is to die for - looks like bread but dissolves in your mouth like the softest cake. Everything is super, super affordable! Pasta ~ $10-11 and appetizers ~ $4-5 apiece. Love this about them! Keeping their game strong by creating this demand for their product, but despite the demand, not shooting prices up - thanks, Il Corvo! We love your humility!
Il Corvo has now switched to 100% take-out in the light of COVID-19 outbreak. They are a dine-in only place, so I am sure Seattle-ites really appreciate their favorite restaurant staying connected to them by taking this step.
Il Corvo also has a sister (high-end) restaurant called Il-Nido, which I hear isn't as popular as this one, but I would love to try it when I am in Seattle next.","https://s3-media0.fl.yelpcdn.com/bphoto/aOs3N2INq5egut3Gp2e_Pw/348s.jpg"
"Il Corvo Pasta","(206) 538-0999","Anisha B.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/ikG-rX0Kl1HnoB-T4AQ4aw/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Anisha B.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/ayM_XH5OwwRYoxMIoiKzog/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Hung V.","Before Corvo Pasta, Ive only known T.V dinners and Cheesecake Factory ""pasta"". Therefore I did not like Corvo the very first time.
But since my first time, Ive learned to appreciate real pasta, and have developed a distaste for the garbage served at Cheesecake Factory and Olive Garden.
Corvo is AMAZING. Aside from my opinions, I've heard people mention that the pasta here is better than places in Rome. They have 1 main option thats served everyday (bolognese) and 2 rotating options. The bolognese is well deserving of non-rotation. And my favorites of the rotating options is the Rigatoni with cheese (im not sure which type, Sorry!) and spicy meat balls.
Almost everytime I come here, I get the kale salad. I did not like kale before coming here. Ill leave it at that.
The pasta is a deal here at 10.95 (previously 9.95). Portions may seem small, but its just an illusion. Each serving should be enough for an average eater.
Street Parking is a bit annoying to find and a tad expensive. But if you don't mind there is a public parking garage down the hill that charges 3 dollars per hour (street parking is $5/hour).
The biggest concern about eating here is the hours. Only open during weekdays from 11AM TO 3PM. And if you plan to come before 1:45 be prepared to wait in line. But thats the little secret with this restaurant. You can come at opening and wait 2 hours, or you can come around 2PM and skip the lines.
Overall, if you don't want to deal with the BS ""Fine Dining"" places that charge 20+ for some pasta, come to Corvo for some perfectly made, Al-dente pasta from an Award winning chef.",""
"Il Corvo Pasta","(206) 538-0999","Young N.","Holy smokes. This place is the real deal. While I don't consider myself an Italian food expert, I've been to Italy and have consumed my fair share of pasta. The food at Il Corvo measures up. No pictures as I gobbled up the food right as it served.
My friend and I ordered the Lasagna and the Pappardelle but started with their kale salad. The salad was a good appetizer before we loaded up on carbs. A little heavy on the dressing for me but not too bad and definitely fresh and aromatic. Generous portions too, enough for two.
The pastas though are what give this place 5/5, inconvenient hours and wait aside. Of the two we ordered, the Pappardelle was better but both dishes had the same amazing chewy, soft, fresh pasta texture. It stands out the instant you bite into it. They also come with lots of fresh Parmesan cheese on top. If you're coming solo and need to pick one, I give the slight edge to the Pappardelle. The sauce packs more of a punch, is meatier, and more complex. I definitely hope to go again.",""
"Il Corvo Pasta","(206) 538-0999","Jina H.","Fresh pasta and appetizers that compliment the dishes for a satisfying meal for a deal of 10.95 and change! Getting here early is the key because the wait time is due to the line and ordering because there is one kiosk station
Party of 2 waited starting 10:15am (first in line) and by 10:30 the line was almost to the end of the street. The two rotating pasta dishes are uploaded to Instagram before opening which is nice to see the daily options as the regular is a bolognese and doors promptly open on time
The line continues to move into the restaurant as you order at the counter- we got the lumache ""snail pasta"" that was in a turnip cream sauce and campanelli ""ruffled cone"" in a spring onion, tomato, arugula, and marjoram sauce. We also got appetizers of the kale salad, focaccia, and prosciutto. Before ordering, the staff was already plating various antipasti to serve and we got assigned a seat.
Tables are shared communally as the restaurant makes use of all the space. Utensils and water are self serve. Our antipasti was on our table before we even sat down and pasta showed up not even 5 minutes after.
Everything was fresh and made with love! The pastas were cooked perfectly and paired well with all three antipasti- especially the focaccia and kale salad. The salad was piled on in volume and the focaccia was soft and moist. Cured ham was a nice light pairing with the bread and even of its own with celery and oil. The lumache with turnip cream is one I am still thinking about and the campanelli had a hint of spice due to the arugula and marjoram.
With such fast service and turn around, we were done with our meal in half and hour and to go boxes available by the self serve station. Staff was around clearing plates, wiping down tables and checking everything consistently. Bus your own table and off you go. I can see myself coming multiple times a week to try the variety of pasta and pair it with various antipasti, the cookies look delicious too. Whether you try all three pastas or one at a time, you can't go wrong here. Definitely worth a trip when in Seattle","https://s3-media0.fl.yelpcdn.com/bphoto/ZOo83NTNw0QuxmF7dPuI-g/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Jina H.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/GJsDOCgsUXMM6pDcZ2cEtw/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Korah L.","After years of hearing my boyfriend talk about this place, I finally had the energy and time to head downtown to give it a try myself. And yeah, the hype is real -- for a few reasons. The wait is inevitable, but completely worth it. Took us about 45 minutes until we reached the counter but the way their seating/service is set up, there seems to always be seating available. This is so great because it means you get to enjoy your pasta super fresh without the hassle of waiting on people to leave!
Once we sat it only took about 5 minutes to be served our pastas and wow did it not disappoint. I'm not a huge al dente fan but I know this how traditional pasta is eaten and yeah, I might be addicted to pasta now. The food was just SO good. Difficult to put in words. They always have vegetarian options as well as their staple bolognese pappardelle so if you come with a group of people I'm sure everyone will find something to love here. The wait is worth it!","https://s3-media0.fl.yelpcdn.com/bphoto/o8vlAOrhUGLERbTotavFyA/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Korah L.","-''-","https://s3-media0.fl.yelpcdn.com/bphoto/1kb86dIkyLwbAybnKOGo8w/168s.jpg"
"Il Corvo Pasta","(206) 538-0999","Cindy T.","This was a unique experience but I think I would only do it once. You may disagree if you're a bigger fan of pasta.
We got here around10:30am on a Friday and there was already a line almost to the corner. Still had to wait about an hour and a half before we got to the register. Luckily, the food comes out really fast.
All the food was freshly plated. We had the prosciutto and house focaccia. They were both exactly as one would expect. The focaccia was baked with some kind of herb and was pretty good.
The pasta came out really hot. We were ambitious and had all 3 pasta choices: the Bolognese, Lasagna, and Campanelli. The bolognese was okay to me, a little salty for my preference. My friend thought the Campanelli was really good. I don't like mushrooms, so I avoided it. The Lasagna was actually really good. I had to finish it. It was hot, cheesy, and perfectly flavored.
After you're done eating, you bus your own tables which can be difficult because it's a very cramped and crowded space. Honestly, the food is good but it's such a long wait, you eat in a cramped area, you have to wiggle your way through the restaurant to bus your dishes...might not be worth it if you don't really love pasta. Not a place for the claustrophobic.","https://s3-media0.fl.yelpcdn.com/bphoto/8sEDhk2d_4gnGELKfNNGSg/348s.jpg"
